2016, barrel, endcap
25 GeV < photon pt < 30 GeV, 0.314337785657 +- 0.00659348133144, 0.305354881549 +- 0.0109017641014
30 GeV < photon pt < 40 GeV, 0.218192330761 +- 0.00464057499825, 0.224961121092 +- 0.00796255979242
40 GeV < photon pt < 50 GeV, 0.164771219535 +- 0.00512855565983, 0.174876449683 +- 0.00901495157198
50 GeV < photon pt < 70 GeV, 0.130983948503 +- 0.0043450953597, 0.135651619475 +- 0.00766192847865
70 GeV < photon pt < 100 GeV, 0.0940767167936 +- 0.00439421074998, 0.0952340597382 +- 0.00803543416615
100 GeV < photon pt < 135 GeV, 0.0651784491898 +- 0.00506950037788, 0.0938038057068 +- 0.0133502856857
135 GeV < photon pt < 400 GeV, 0.0467969419928 +- 0.0045072757571, 0.0773448950524 +- 0.0154706811594
