2017, barrel, endcap
25 GeV < photon pt < 30 GeV, 0.417354158737 +- 0.00594706903543, 0.310657748292 +- 0.0096039867343
30 GeV < photon pt < 40 GeV, 0.277417644771 +- 0.00403704260312, 0.208627745338 +- 0.0065056841013
40 GeV < photon pt < 50 GeV, 0.204122270459 +- 0.00438299319121, 0.180567732346 +- 0.00828207466669
50 GeV < photon pt < 70 GeV, 0.16575622278 +- 0.00379503813468, 0.164552460289 +- 0.00807063231344
70 GeV < photon pt < 100 GeV, 0.135652704625 +- 0.00436182403527, 0.106920853279 +- 0.0082062871086
100 GeV < photon pt < 135 GeV, 0.0859313508007 +- 0.00469010779272, 0.062706501827 +- 0.00897962585843
135 GeV < photon pt < 400 GeV, 0.059888014987 +- 0.00422823148173, 0.0650259412539 +- 0.0138721686906
