2018, barrel, endcap
25 GeV < photon pt < 30 GeV, 0.314382955348 +- 0.00353280655824, 0.28756429882 +- 0.00651942322597
30 GeV < photon pt < 40 GeV, 0.149971762553 +- 0.00168795042039, 0.187277552485 +- 0.0041293230004
40 GeV < photon pt < 50 GeV, 0.0812078375087 +- 0.00134172784974, 0.119864652497 +- 0.00393055037262
50 GeV < photon pt < 70 GeV, 0.117207789036 +- 0.00201201699455, 0.128476467728 +- 0.00458503301245
70 GeV < photon pt < 100 GeV, 0.10894678005 +- 0.00265457469571, 0.112955901669 +- 0.0060401198592
100 GeV < photon pt < 135 GeV, 0.0776700220984 +- 0.00310457293497, 0.0713055810849 +- 0.0070028596828
135 GeV < photon pt < 400 GeV, 0.0587980542187 +- 0.00285195663052, 0.0540742711479 +- 0.00750676224966
