fM0, -6.92159902191, 6.90240061188
fM0, -7.178, 6.984
fM0, -7.21679985809, 7.10039986038
fM0, -7.21679985809, 7.10039986038
fM1, -10.282, 10.767
fM2, -2.54960006905, 2.53839988041
fM3, -3.75390004921, 3.84120005035
fM4, -4.4848001442, 4.50079976654
fM5, -7.50780009842, 7.39140009689
fM6, -14.4335997162, 14.2007997208
fM7, -18.4687996368, 17.847999649
fT0, -0.552899989128, 0.581999988556
fT1, -0.319600035667, 0.366799942017
fT2, -0.940899981499, 1.1542999773
fT5, -0.378299992561, 0.387999992371
fT6, -0.337200035095, 0.357999942303
fT7, -0.83320003891, 0.904399943829
