2018, barrel, endcap
25 GeV < photon pt < 30 GeV, 0.40504904409 +- 0.0123328794259, 0.365542139994 +- 0.0267592516649
30 GeV < photon pt < 40 GeV, 0.352535276831 +- 0.0106149182738, 0.349802091665 +- 0.020886212304
40 GeV < photon pt < 50 GeV, 0.309072722522 +- 0.0129954771457, 0.278226728966 +- 0.0260474567561
50 GeV < photon pt < 70 GeV, 0.272623374963 +- 0.0113776953943, 0.254778576993 +- 0.0236126830175
70 GeV < photon pt < 100 GeV, 0.21498945246 +- 0.0126448137937, 0.177503246496 +- 0.0230850184883
100 GeV < photon pt < 135 GeV, 0.154685629183 +- 0.0152735009267, 0.170926539078 +- 0.0349944543321
135 GeV < photon pt < 400 GeV, 0.096645963261 +- 0.0117696564967, 0.102253414131 +- 0.031002906666
