2018, barrel, endcap
25 GeV < photon pt < 30 GeV, 0.270947940885 +- 0.00324632341873, 0.230113803732 +- 0.0057149353573
30 GeV < photon pt < 40 GeV, 0.124401918715 +- 0.00148840740214, 0.148963811063 +- 0.00357061379223
40 GeV < photon pt < 50 GeV, 0.0661506301867 +- 0.0011610104409, 0.0986903309114 +- 0.00343532024404
50 GeV < photon pt < 70 GeV, 0.0997897353407 +- 0.00181225030476, 0.107007416329 +- 0.0040570715234
70 GeV < photon pt < 100 GeV, 0.0945560522426 +- 0.00242079165191, 0.0920353401938 +- 0.0051965899729
100 GeV < photon pt < 135 GeV, 0.061075441816 +- 0.00259562911316, 0.0690006279176 +- 0.00703234929141
135 GeV < photon pt < 400 GeV, 0.0423225220252 +- 0.00222062107541, 0.0357973651191 +- 0.00532253399856
