2018, barrel, endcap
25 GeV < photon pt < 30 GeV, 0.379185240751 +- 0.0047737368339, 0.310254611725 +- 0.007807081377
30 GeV < photon pt < 40 GeV, 0.259585291119 +- 0.00331116682296, 0.225205803765 +- 0.00564303223972
40 GeV < photon pt < 50 GeV, 0.20151243466 +- 0.00373586796365, 0.169120285666 +- 0.00633924583992
50 GeV < photon pt < 70 GeV, 0.164293042708 +- 0.00319164045872, 0.145641643681 +- 0.00586236527473
70 GeV < photon pt < 100 GeV, 0.117392255213 +- 0.00318482860476, 0.120253424613 +- 0.00718143145625
100 GeV < photon pt < 135 GeV, 0.0786259038525 +- 0.00352005751301, 0.0718417437377 +- 0.00790555307617
135 GeV < photon pt < 400 GeV, 0.0592423179255 +- 0.00325052674032, 0.0586790157335 +- 0.00968709274611
