2018, barrel, endcap
25 GeV < photon pt < 30 GeV, 0.386785288452 +- 0.0118841858273, 0.343557690249 +- 0.0255633736555
30 GeV < photon pt < 40 GeV, 0.332959899137 +- 0.0101399390793, 0.331532530357 +- 0.020005495002
40 GeV < photon pt < 50 GeV, 0.289082522445 +- 0.0123239592147, 0.255925801049 +- 0.0243738885679
50 GeV < photon pt < 70 GeV, 0.256161404667 +- 0.0108037521182, 0.225211421073 +- 0.021511243369
70 GeV < photon pt < 100 GeV, 0.193379739862 +- 0.0115750864487, 0.159156864579 +- 0.0219458141573
100 GeV < photon pt < 135 GeV, 0.141770839448 +- 0.0144182596995, 0.153880395122 +- 0.0310438878489
135 GeV < photon pt < 400 GeV, 0.0911820425915 +- 0.0109917949705, 0.0972517753728 +- 0.026882084472
