2018, barrel, endcap
25 GeV < photon pt < 30 GeV, 0.387629406784 +- 0.0127454598874, 0.345327604394 +- 0.027226120033
30 GeV < photon pt < 40 GeV, 0.333630524383 +- 0.0109824276825, 0.32958981014 +- 0.0215730012131
40 GeV < photon pt < 50 GeV, 0.285842872379 +- 0.0131759068124, 0.225729816313 +- 0.0255485336228
50 GeV < photon pt < 70 GeV, 0.248731446176 +- 0.0115015008501, 0.210670376988 +- 0.0231996189009
70 GeV < photon pt < 100 GeV, 0.192961012258 +- 0.0123323999239, 0.157210779652 +- 0.0236094233609
100 GeV < photon pt < 135 GeV, 0.14238441476 +- 0.0157409831189, 0.142992650062 +- 0.0331922001621
135 GeV < photon pt < 400 GeV, 0.0855898928522 +- 0.0119229433728, 0.0922176249496 +- 0.0292118010579
