2018, barrel, endcap
25 GeV < photon pt < 30 GeV, 0.358964233403 +- 0.00368829067701, 0.279654399122 +- 0.00584196365205
30 GeV < photon pt < 40 GeV, 0.243536283124 +- 0.00256743549706, 0.203966201645 +- 0.0042396308598
40 GeV < photon pt < 50 GeV, 0.192325054382 +- 0.0029738028011, 0.155633218519 +- 0.00483194724584
50 GeV < photon pt < 70 GeV, 0.153840103575 +- 0.00249493845353, 0.132159093958 +- 0.0044592457175
70 GeV < photon pt < 100 GeV, 0.111637150381 +- 0.00251783530943, 0.107799705096 +- 0.00540022083378
100 GeV < photon pt < 135 GeV, 0.0706576709048 +- 0.00264203698076, 0.0720924413107 +- 0.00674745340568
135 GeV < photon pt < 400 GeV, 0.0506510869513 +- 0.00234025523062, 0.0462753325514 +- 0.00647071869873
