2018, barrel, endcap
25 GeV < photon pt < 30 GeV, 0.293810317859 +- 0.00272631334392, 0.256480698177 +- 0.00485043283244
30 GeV < photon pt < 40 GeV, 0.138221821902 +- 0.00129964351, 0.166602098198 +- 0.00307688430001
40 GeV < photon pt < 50 GeV, 0.0739634461013 +- 0.00103030621473, 0.108182538158 +- 0.00296138259485
50 GeV < photon pt < 70 GeV, 0.108666092194 +- 0.00154880447206, 0.117119554707 +- 0.00350018330824
70 GeV < photon pt < 100 GeV, 0.101689358469 +- 0.00205898315166, 0.10173106954 +- 0.00457713978756
100 GeV < photon pt < 135 GeV, 0.0691811385788 +- 0.00230869327381, 0.070030553353 +- 0.00581619633538
135 GeV < photon pt < 400 GeV, 0.0505430189492 +- 0.00206404948673, 0.0445314087331 +- 0.00535697834644
