2017, barrel, endcap
25 GeV < photon pt < 30 GeV, 0.387676636113 +- 0.00447285502899, 0.278298401855 +- 0.00715038518097
30 GeV < photon pt < 40 GeV, 0.259179672437 +- 0.00310248178305, 0.194204755043 +- 0.00498143868193
40 GeV < photon pt < 50 GeV, 0.193820451744 +- 0.00344668671834, 0.165486975515 +- 0.00629250006214
50 GeV < photon pt < 70 GeV, 0.158553909876 +- 0.0030021459781, 0.148170064135 +- 0.00608341631632
70 GeV < photon pt < 100 GeV, 0.125776177967 +- 0.00334373664886, 0.0975716047285 +- 0.00623328579641
100 GeV < photon pt < 135 GeV, 0.0820469649937 +- 0.00370728896771, 0.0631808223523 +- 0.00758112554235
135 GeV < photon pt < 400 GeV, 0.0577882653809 +- 0.00338036497901, 0.0537001957462 +- 0.00985578617295
