2018, barrel, endcap
25 GeV < photon pt < 30 GeV, 0.403439278493 +- 0.0131614391042, 0.366936074041 +- 0.028481255504
30 GeV < photon pt < 40 GeV, 0.352451357461 +- 0.0114766600136, 0.350238541589 +- 0.0226469558642
40 GeV < photon pt < 50 GeV, 0.308194073565 +- 0.0139924002718, 0.239964644497 +- 0.0266147760989
50 GeV < photon pt < 70 GeV, 0.264803486261 +- 0.0120567321415, 0.240276832398 +- 0.025701579082
70 GeV < photon pt < 100 GeV, 0.215619017862 +- 0.0135686866499, 0.17104477134 +- 0.0245937750121
100 GeV < photon pt < 135 GeV, 0.152899758881 +- 0.0164130017636, 0.158065552734 +- 0.0390865981018
135 GeV < photon pt < 400 GeV, 0.0899785403059 +- 0.0128592186591, 0.100404557758 +- 0.0347532733111
